Date,Close,High,Low,Open,Volume,Next_Close,Target,HL_Pct,OC_Pct,SMA_10,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,Volume_SMA_10,Volume_Ratio,Return_Lag_1,Return_Lag_3,Return_Lag_5
2024-12-23,225.05999755859372,226.8800048828125,223.8999938964844,225.00999450683597,28070000,229.0500030517578,1.7728630305015907,1.3240962492911517,0.022222591430815987,226.95999755859376,215.23833312988282,224.07363896938108,219.31048332234838,4.763155647032704,5.0398573159025615,-0.27670166886985736,62.62495175671853,39660740.0,0.7077528054191626,0.0006224408269079884,0.020587670951264236,-0.03378695472738835
2024-12-24,229.0500030517578,229.13999938964844,226.1300048828125,226.94000244140625,15007500,227.0500030517578,-0.8731717849172285,1.3141211380624942,0.9297614292995103,227.36099853515626,215.97866668701172,224.8392334435929,220.03192922823055,4.807304215362336,4.993346695794517,-0.18604248043218075,62.02253073743911,38041500.0,0.3945033713181657,0.017728630305015924,0.025796094490647015,-0.009084970366328604
2024-12-26,227.0500030517578,228.5,226.6699981689453,228.5,16146700,223.75,-1.453425680424039,0.8059906656938138,-0.6345719685961433,227.03999938964844,216.58333333333334,225.179351844849,220.55178654849183,4.627565296357176,4.920190415907049,-0.29262511954987325,57.23831325333959,36117590.0,0.44705917532149847,-0.00873171784917226,0.009470055575994563,0.029611820482412288
2024-12-27,223.75,226.02999877929688,220.8999938964844,225.6000061035156,27367100,221.3000030517578,-1.094970703125,2.2927396124301547,-0.8200381442661527,226.51799926757812,216.90499979654948,224.9594515610261,220.78869124860356,4.170760312422544,4.7703043952101485,-0.5995440827876042,46.06903034204291,36033890.0,0.7594822540669354,-0.014534256804240364,-0.0058206592588835315,0.0020601313435382185
2024-12-30,221.3000030517578,223.0,218.42999267578125,220.05999755859372,28321200,219.38999938964844,-0.8630834323407858,2.065073321824543,0.563485189003478,225.9019989013672,217.23233337402343,224.39645948267713,220.82656619698534,3.5698932856917907,4.530222173306477,-0.9603288876146863,44.459869140689094,35989200.0,0.7869360808242473,-0.010949707031249978,-0.03383540666554263,-0.016094589839309892
2024-12-31,219.38999938964844,223.22999572753903,218.94000244140625,222.97000122070312,24819700,220.22000122070312,0.37832254586069786,1.9554187966943404,-1.6055979779589644,224.5479995727539,217.79166666666666,223.62623485298042,220.72015384088633,2.9060810120940914,4.205393941064,-1.2993129289699086,43.592653349391604,34715960.0,0.7149363001916121,-0.008630834323407832,-0.033737077996705445,-0.025193273928962534
2025-01-02,220.22000122070312,225.1499938964844,218.19000244140625,222.02999877929688,33956600,224.19000244140625,1.8027432561515673,3.1604719900545697,-0.8152040573548491,223.4550003051758,218.40900014241535,223.10219890955312,220.68310549865055,2.419093410902576,3.8481338350317156,-1.4290404241291395,37.355161491549794,34516810.0,0.9837699370248872,0.003783225458606987,-0.015776530857192772,-0.03855054229822208
2025-01-03,224.19000244140625,225.3600006103516,221.6199951171875,222.50999450683597,27515600,227.6100006103516,1.52549093701856,1.6682302745152828,0.7550258307694447,223.8220001220703,219.0616668701172,223.269553299069,220.9428756425584,2.3266776565106113,3.543842599327495,-1.2171649428168836,44.36054545703306,32940230.0,0.8353190005048537,0.018027432561515733,0.013059192723881452,-0.012596346936404101
2025-01-06,227.6100006103516,228.83999633789065,224.83999633789065,226.77999877929688,31849800,222.1100006103516,-2.416414035082544,1.7573920255145776,0.3659942832359201,224.25400085449218,219.88600006103516,223.93731442388173,221.4367367512838,2.5005776725979274,3.3351896139815818,-0.8346119413836544,50.16933164472536,32133340.0,0.991176142909514,0.015254909370185699,0.03746752925644525,0.017251399375872944
2025-01-07,222.1100006103516,228.3800048828125,221.4600067138672,227.8999938964844,28084200,222.1300048828125,0.00900647085045155,3.115572531596671,-2.5405850992531023,223.9730010986328,220.6769999186198,223.65618922180016,221.4866081482518,2.1695810735483576,3.1020679058949368,-0.9324868323465791,37.793328065745065,26113840.0,1.0754527101337834,-0.02416414035082548,0.008582323945018677,0.0036601787050329904
